index,s,value_lower,value_upper
993,993/32,33365632224531261/32000000000000000000000000000000,16682816112265683/16000000000000000000000000000000
994,497/16,32339079641330569/32000000000000000000000000000000,16169539820665337/16000000000000000000000000000000
995,995/32,7836027690188729/8000000000000000000000000000000,31344110760755021/32000000000000000000000000000000
996,249/8,30379753854431269/32000000000000000000000000000000,15189876927215687/16000000000000000000000000000000
997,997/32,36806333863657/40000000000000000000000000000,5889013418185141/6400000000000000000000000000000
998,499/16,14269568807955387/16000000000000000000000000000000,28539137615910879/32000000000000000000000000000000
999,999/32,13830540330317349/16000000000000000000000000000000,27661080660634803/32000000000000000000000000000000
1000,125/4,837813708681813/1000000000000000000000000000000,26810038677818121/32000000000000000000000000000000
1001,1001/32,12992590252068721/16000000000000000000000000000000,25985180504137547/32000000000000000000000000000000
1002,501/16,2518570054847677/3200000000000000000000000000000,40297120877563/51200000000000000000000000000
1003,1003/32,6102704501288193/8000000000000000000000000000000,24410818005152877/32000000000000000000000000000000
1004,251/8,11829888045673799/16000000000000000000000000000000,23659776091347703/32000000000000000000000000000000
1005,1005/32,11465920654001453/16000000000000000000000000000000,22931841308003011/32000000000000000000000000000000
1006,503/16,22226302723453893/32000000000000000000000000000000,11113151361726999/16000000000000000000000000000000
1007,1007/32,2692808909887949/4000000000000000000000000000000,21542471279103697/32000000000000000000000000000000
1008,63/2,20879679116459319/32000000000000000000000000000000,652489972389357/1000000000000000000000000000000
1009,1009/32,20237278924874039/32000000000000000000000000000000,632414966402317/1000000000000000000000000000000
1010,505/16,3922928661871123/6400000000000000000000000000000,490366082733893/800000000000000000000000000000
1011,1011/32,4752791044456631/8000000000000000000000000000000,19011164177826629/32000000000000000000000000000000
1012,253/8,2303281518404451/4000000000000000000000000000000,18426252147235713/32000000000000000000000000000000
1013,1013/32,2232416995992731/4000000000000000000000000000000,17859335967941953/32000000000000000000000000000000
1014,507/16,8654930982903993/16000000000000000000000000000000,17309861965808091/32000000000000000000000000000000
1015,1015/32,16777293501459121/32000000000000000000000000000000,8388646750729613/16000000000000000000000000000000
1016,127/4,4065277611544543/8000000000000000000000000000000,16261110446178277/32000000000000000000000000000000
1017,1017/32,246262635530099/500000000000000000000000000000,15760808673926441/32000000000000000000000000000000
1018,509/16,7637949784496221/16000000000000000000000000000000,15275899568992547/32000000000000000000000000000000
1019,1019/32,2961181909758067/6400000000000000000000000000000,370147738719761/800000000000000000000000000000
1020,255/8,3587594900334561/8000000000000000000000000000000,14350379601338349/32000000000000000000000000000000
1021,1021/32,2781772967393683/6400000000000000000000000000000,347721620924213/800000000000000000000000000000
1022,511/16,2696186810765837/6400000000000000000000000000000,1348093405382929/3200000000000000000000000000000
1023,1023/32,6533084658377577/16000000000000000000000000000000,13066169316755259/32000000000000000000000000000000
1024,32,158302069363677/400000000000000000000000000000,2532833109818853/6400000000000000000000000000000
1025,1025/32,6137265068546209/16000000000000000000000000000000,12274530137092523/32000000000000000000000000000000
1026,513/16,11896882546451447/32000000000000000000000000000000,371777579576611/1000000000000000000000000000000
1027,1027/32,115308539506823/320000000000000000000000000000,2306170790136481/6400000000000000000000000000000
1028,257/8,1397010858861767/4000000000000000000000000000000,11176086870894241/32000000000000000000000000000000
1029,1029/32,5416117413332663/16000000000000000000000000000000,10832234826665431/32000000000000000000000000000000
1030,515/16,5249480998828067/16000000000000000000000000000000,10498961997656239/32000000000000000000000000000000
1031,1031/32,10175942895632473/32000000000000000000000000000000,5087971447816289/16000000000000000000000000000000
1032,129/4,2465715511645109/8000000000000000000000000000000,9862862046580541/32000000000000000000000000000000
1033,1033/32,955941368260113/3200000000000000000000000000000,1911882736520247/6400000000000000000000000000000
1034,517/16,579081340205307/2000000000000000000000000000000,9265301443285017/32000000000000000000000000000000
1035,1035/32,4490119043136687/16000000000000000000000000000000,8980238086273479/32000000000000000000000000000000
1036,259/8,2175986301681599/8000000000000000000000000000000,8703945206726501/32000000000000000000000000000000
1037,1037/32,1054519120677537/4000000000000000000000000000000,8436152965420401/32000000000000000000000000000000
1038,519/16,1635319965042303/6400000000000000000000000000000,408829991260581/1600000000000000000000000000000
1039,1039/32,3962516147804233/16000000000000000000000000000000,7925032295608571/32000000000000000000000000000000
1040,65/2,7681204685202079/32000000000000000000000000000000,960150585650273/4000000000000000000000000000000
1041,1041/32,7444878861713259/32000000000000000000000000000000,1861219715428341/8000000000000000000000000000000
1042,521/16,901978002427863/4000000000000000000000000000000,7215824019423009/32000000000000000000000000000000
1043,1043/32,1398763290751471/6400000000000000000000000000000,349690822687873/1600000000000000000000000000000
1044,261/8,1355727868561823/6400000000000000000000000000000,338931967140461/1600000000000000000000000000000
1045,1045/32,6570082535579477/32000000000000000000000000000000,3285041267789791/16000000000000000000000000000000
1046,523/16,1591985586684059/8000000000000000000000000000000,6367942346736341/32000000000000000000000000000000
1047,1047/32,6172021357686043/32000000000000000000000000000000,6172021357686147/32000000000000000000000000000000
1048,131/4,74776602797089/400000000000000000000000000000,747766027970903/4000000000000000000000000000000
1049,1049/32,362379842960877/2000000000000000000000000000000,724759685921767/4000000000000000000000000000000
1050,525/16,5619689396832007/32000000000000000000000000000000,5619689396832111/32000000000000000000000000000000
1051,1051/32,5446789730843901/32000000000000000000000000000000,1089357946168801/6400000000000000000000000000000
1052,263/8,5279209628338369/32000000000000000000000000000000,5279209628338473/32000000000000000000000000000000
1053,1053/32,1023357084710611/6400000000000000000000000000000,5116785423553159/32000000000000000000000000000000
1054,527/16,4959358486191737/32000000000000000000000000000000,4959358486191841/32000000000000000000000000000000
1055,1055/32,2403387533249661/16000000000000000000000000000000,2403387533249713/16000000000000000000000000000000
1056,33,4658886145103381/32000000000000000000000000000000,931777229020697/6400000000000000000000000000000
1057,1057/32,564443410934447/4000000000000000000000000000000,28222170546723/200000000000000000000000000000
1058,529/16,2188309251435417/16000000000000000000000000000000,2188309251435469/16000000000000000000000000000000
1059,1059/32,4241964107606513/32000000000000000000000000000000,4241964107606617/32000000000000000000000000000000
1060,265/8,4111452592548019/32000000000000000000000000000000,4111452592548123/32000000000000000000000000000000
1061,1061/32,1992478247335733/16000000000000000000000000000000,398495649467157/3200000000000000000000000000000
1062,531/16,3862352272577939/32000000000000000000000000000000,3862352272578043/32000000000000000000000000000000
1063,1063/32,3743520185837773/32000000000000000000000000000000,3743520185837877/32000000000000000000000000000000
1064,133/4,3628344178047029/32000000000000000000000000000000,3628344178047133/32000000000000000000000000000000
1065,1065/32,3516711763481933/32000000000000000000000000000000,1758355881741019/16000000000000000000000000000000
1066,533/16,3408513917240601/32000000000000000000000000000000,1704256958620353/16000000000000000000000000000000
1067,1067/32,3303644968764741/32000000000000000000000000000000,1651822484382423/16000000000000000000000000000000
1068,267/8,64040049972747/640000000000000000000000000000,640400499727491/6400000000000000000000000000000
1069,1069/32,1551743619277807/16000000000000000000000000000000,3103487238555719/32000000000000000000000000000000
1070,535/16,601600594876263/6400000000000000000000000000000,150400148719071/1600000000000000000000000000000
1071,1071/32,583091290434813/6400000000000000000000000000000,291545645217417/3200000000000000000000000000000
1072,67/2,565151457423119/6400000000000000000000000000000,28257572871157/320000000000000000000000000000
1073,1073/32,2738817875236147/32000000000000000000000000000000,684704468809063/8000000000000000000000000000000
1074,537/16,1327276653928379/16000000000000000000000000000000,2654553307856863/32000000000000000000000000000000
1075,1075/32,2572881288663883/32000000000000000000000000000000,643220322165997/8000000000000000000000000000000
1076,269/8,2493722053335359/32000000000000000000000000000000,311715256666933/4000000000000000000000000000000
