case,degree,t,energy,integrated_work,work_defect,norm_defect
short,6,0.02,0.12235857930733064,0.12235857930906674,-1.7360973769697807e-12,-2.2226664952995634e-13
short,6,0.025,0.19030067713754484,0.19030067713588344,1.6613932452003155e-12,-1.6553425297161084e-13
short,6,0.03,0.2724822367167771,0.2724822367166125,1.6464607455191071e-13,-1.3877787807814457e-14
short,6,0.035,0.3683959701284371,0.368395970129087,-6.498690474643354e-13,-1.7763568394002505e-14
short,6,0.04,0.4774495634440859,0.47744956345139367,-7.307765503838937e-12,-1.871836019518014e-13
short,6,0.045,0.5989692248127287,0.5989692248159255,-3.1967761771056757e-12,-2.844391389089651e-13
short,6,0.05,0.7322037348560213,0.7322037348538402,2.1811441541785825e-12,-1.8451906669270102e-13
short,6,0.055,0.8763289802601496,0.8763289802625224,-2.3727686482288846e-12,7.749356711883593e-14
short,6,0.06,1.0304529486556824,1.030452948662282,-6.5996097475817805e-12,2.973177259946169e-13
short,6,0.065,1.1936211600228726,1.1936211600472875,-2.4414914534531817e-11,8.257838857161914e-13
short,6,0.07,1.3648225069670787,1.3648225069799371,-1.2858381026603638e-11,-3.608224830031759e-14
short,6,0.075,1.542995473299209,1.5429954733004063,-1.1972645097557688e-12,7.638334409421077e-14
short,6,0.08,1.7270346974335942,1.72703469743608,-2.4857893521357255e-12,2.533528942194607e-13
short,6,0.085,1.915797844259434,1.9157978442629853,-3.5513814111709507e-12,9.607870055106105e-13
short,6,0.09,2.108112746312378,2.108112746323342,-1.0964118501988196e-11,3.0033753262159735e-12
short,6,0.095,2.3027847723937,2.302784772419105,-2.5405011427892532e-11,1.2794210135780304e-12
short,6,0.1,2.498604379238917,2.498604379260334,-2.141709032343897e-11,1.496580637194711e-12
short,6,0.105,2.6943547994217547,2.6943547994271775,-5.422773341479115e-12,1.9539925233402755e-14
short,6,0.11,2.8888198167258756,2.888819816728827,-2.951416888663516e-12,1.4699352846037073e-13
short,6,0.115,3.0807915780662154,3.0807915780447512,2.1464163779683076e-11,1.5616397064377452e-12
short,6,0.12,3.2690783899601823,3.2690783899702525,-1.007016692256002e-11,7.576161920042068e-13
short,6,0.125,3.45251244605428,3.4525124460940027,-3.972244755345855e-11,1.3273826482418372e-12
short,6,0.13,3.62995743163359,3.6299574316427625,-9.172662629453043e-12,-1.6264767310758543e-13
short,6,0.135,3.800315950924889,3.8003159509303743,-5.4853899200679734e-12,-1.2367884494324244e-13
short,6,0.14,3.962536722730973,3.962536722698719,3.22537552222002e-11,2.289279876777073e-13
short,6,0.145,4.115621491310529,4.115621491330063,-1.9533707984464854e-11,-5.327960295176126e-13
short,6,0.15,4.258631600078732,4.258631600143355,-6.462297363896141e-11,-2.544631172440859e-13
short,6,0.155,4.390694177704036,4.390694177716199,-1.2162715279373515e-11,-2.9742874829707944e-13
short,6,0.16,4.51100788855552,4.511007888564295,-8.775202786637237e-12,-2.8121949213755215e-13
short,6,0.165,4.618848201994481,4.618848201968919,2.5562663097389304e-11,-6.392664175791651e-13
short,6,0.17,4.713572138623043,4.713572138673277,-5.023448323981938e-11,-2.189026737653421e-12
