steps,t,energy,integrated_work,norm_defect,work_defect
160,1.85,0.4841801682410013,0.4841802784027349,8.659739592076221e-15,-1.1016173362410342e-07
160,1.8625,0.4852167465142246,0.4852168535661418,7.771561172376096e-15,-1.0705191721971374e-07
160,1.875,0.48616421232286755,0.4861643164686676,7.771561172376096e-15,-1.0414580003947904e-07
160,1.8875,0.48702227865404857,0.48702238010676385,6.8833827526759706e-15,-1.0145271528427813e-07
160,1.9000000000000001,0.4877906876691378,0.48779078665056874,6.661338147750939e-15,-9.898143094044798e-08
160,1.9125,0.4884692106189631,0.4884693073590902,7.105427357601002e-15,-9.674012713123403e-08
160,1.925,0.48905764776034166,0.4890577424967135,6.661338147750939e-15,-9.47363718584171e-08
160,1.9375,0.48955582827446004,0.489555921251555,6.8833827526759706e-15,-9.297709496758344e-08
160,1.95,0.4899636101875767,0.4899637016561476,6.661338147750939e-15,-9.146857088415672e-08
160,1.9625000000000001,0.49028088029451106,0.49028097051090735,6.661338147750939e-15,-9.021639629791522e-08
160,1.975,0.4905075540853157,0.4905076433107914,5.773159728050814e-15,-8.922547567458139e-08
160,1.9875,0.49064357567551353,0.49064366417551863,4.440892098500626e-15,-8.850000510207678e-08
160,2.0,0.4906889177402283,0.4906890057836835,5.329070518200751e-15,-8.804345519308754e-08
320,0.00625,1.2047760167584534e-05,1.2047760167759065e-05,0.0,-1.7453113878174858e-16
320,0.0125,4.818987947108201e-05,4.8189879474360135e-05,2.220446049250313e-16,-3.278125926091391e-15
320,0.018750000000000003,0.00010842287438042721,0.00010842287439748248,0.0,-1.705527266724488e-14
320,0.025,0.00019274093923794114,0.00019274093929233052,-1.1102230246251565e-16,-5.43893814534957e-14
320,0.03125,0.00030113594659710735,0.0003011359467304059,0.0,-1.3329853713883733e-13
320,0.0375,0.000433597447697217,0.00043359744797411524,4.440892098500626e-16,-2.768982417487853e-13
320,0.043750000000000004,0.000590112673074145,0.000590112673587541,0.0,-5.133959663644605e-13
320,0.05,0.0007706665333077219,0.000770666534183793,2.220446049250313e-16,-8.760711340399796e-13
320,0.05625,0.0009752416199062407,0.0009752416213094546,2.220446049250313e-16,-1.4032139165898183e-12
320,0.0625,0.0012038182063286004,0.0012038182084667234,4.440892098500626e-16,-2.1381230119743577e-12
320,0.06875,0.0014563742491450187,0.0014563742522739434,2.220446049250313e-16,-3.128924636747188e-12
320,0.07500000000000001,0.0017328853893365916,0.0017328853937653098,0.0,-4.42871824282709e-12
320,0.08125000000000002,0.0020333249537352453,0.0020333249598306234,2.220446049250313e-16,-6.095378108500471e-12
320,0.08750000000000001,0.002357663956604519,0.002357663964796049,6.661338147750939e-16,-8.191529919654439e-12
