mask,face_count,odd_edge_count,moment_exact
1347,5,12,0
1348,4,8,0
1349,5,10,0
1350,5,10,0
1351,6,12,0
1352,4,10,0
1353,5,10,0
1354,5,10,0
1355,6,10,0
1356,5,10,0
1357,6,10,0
1358,6,10,0
1359,7,10,0
1360,4,8,0
1361,5,8,0
1362,5,12,0
1363,6,12,0
1364,5,8,0
1365,6,8,0
1366,6,12,0
1367,7,12,0
1368,5,10,0
1369,6,8,0
1370,6,12,0
1371,7,10,0
1372,6,10,0
1373,7,8,0
1374,7,12,0
1375,8,10,0
1376,4,10,0
1377,5,12,0
1378,5,10,0
1379,6,12,0
1380,5,8,0
1381,6,10,0
1382,6,8,0
1383,7,10,0
1384,5,10,0
1385,6,10,0
1386,6,12,0
1387,7,12,0
1388,6,8,0
1389,7,8,0
1390,7,10,0
1391,8,10,0
1392,5,10,0
1393,6,10,0
1394,6,12,0
1395,7,12,0
1396,6,8,0
1397,7,8,0
1398,7,10,0
1399,8,10,0
1400,6,10,0
1401,7,8,0
1402,7,14,0
1403,8,12,0
1404,7,8,0
1405,8,6,0
1406,8,12,0
1407,9,10,0
1408,3,10,0
1409,4,10,0
1410,4,12,0
1411,5,12,0
1412,4,12,0
1413,5,12,0
1414,5,14,0
1415,6,14,0
1416,4,10,0
1417,5,8,0
1418,5,10,0
1419,6,8,0
1420,5,12,0
1421,6,10,0
1422,6,12,0
1423,7,10,0
1424,4,10,0
1425,5,8,0
1426,5,10,0
1427,6,8,0
1428,5,12,0
1429,6,10,0
1430,6,12,0
1431,7,10,0
1432,5,10,0
1433,6,6,0
1434,6,8,0
1435,7,4,0
1436,6,12,0
1437,7,8,0
1438,7,10,0
1439,8,6,0
1440,4,12,0
1441,5,12,0
1442,5,12,0
1443,6,12,0
1444,5,12,0
1445,6,12,0
1446,6,12,0
1447,7,12,0
1448,5,10,0
1449,6,8,0
1450,6,12,0
1451,7,10,0
1452,6,10,0
1453,7,8,0
1454,7,12,0
1455,8,10,0
1456,5,12,0
1457,6,10,0
1458,6,10,0
1459,7,8,0
1460,6,12,0
1461,7,10,0
1462,7,10,0
1463,8,8,0
1464,6,10,0
1465,7,6,0
1466,7,10,0
1467,8,6,0
1468,7,10,0
1469,8,6,0
1470,8,10,0
1471,9,6,0
1472,4,12,0
1473,5,12,0
1474,5,12,0
1475,6,12,0
1476,5,12,0
1477,6,12,0
1478,6,12,0
1479,7,12,0
1480,5,12,0
