kappa,mean_bessel,mean_quad,mean_ode_reflected,susceptibility_quad,mean_zero_variance_root,mean_wrong_coefficient_reflected,ode_bessel_difference
-3.7249999999999996,-0.6367311997741273,-0.6367311997741273,-0.636731199774132,0.08176972840939983,-0.6753483011809335,-0.732707183927539,4.6629367034256575e-15
-3.6999999999999997,-0.6346768167070846,-0.6346768167070846,-0.6346768167070826,0.08258251397746597,-0.6736467447393043,-0.7309529829688913,1.9984014443252818e-15
-3.675,-0.6326019938505895,-0.6326019938505892,-0.6326019938505879,0.08340492647781866,-0.6719280508081014,-0.729177167564203,1.5543122344752192e-15
-3.6499999999999995,-0.6305064894164687,-0.6305064894164689,-0.6305064894164685,0.08423705495456774,-0.6701919738288022,-0.7273793881329189,2.220446049250313e-16
-3.6249999999999996,-0.6283900594017288,-0.6283900594017292,-0.6283900594017332,0.08507898753331572,-0.6684382638948425,-0.7255592892243737,4.440892098500626e-15
-3.5999999999999996,-0.6262524576127314,-0.6262524576127314,-0.626252457612728,0.08593081132340441,-0.6666666666666666,-0.7237165094525994,3.4416913763379853e-15
-3.5749999999999997,-0.6240934356918617,-0.6240934356918617,-0.6240934356918613,0.08679261231637425,-0.6648769232852558,-0.7218506814333205,4.440892098500626e-16
-3.55,-0.6219127431467825,-0.6219127431467826,-0.6219127431467872,0.08766447528056015,-0.6630687702841203,-0.719961431722116,4.773959005888173e-15
-3.5249999999999995,-0.6197101273823739,-0.6197101273823739,-0.6197101273823713,0.08854648365174428,-0.661241939499756,-0.7180483807552324,2.55351295663786e-15
-3.4999999999999996,-0.617485333735454,-0.6174853337354541,-0.6174853337354533,0.08943871941979709,-0.6593961579805582,-0.7161111427921464,6.661338147750939e-16
-3.4749999999999996,-0.6152381055123878,-0.6152381055123878,-0.6152381055123882,0.09034126301123618,-0.6575311478941935,-0.714149325861062,4.440892098500626e-16
-3.4499999999999997,-0.6129681840296812,-0.6129681840296815,-0.6129681840296815,0.09125419316763167,-0.6556466264334307,-0.7121625317064112,2.220446049250313e-16
-3.425,-0.6106753086576692,-0.6106753086576692,-0.6106753086576678,0.09217758681979987,-0.6537423057204347,-0.7101503557397454,1.3322676295501878e-15
-3.3999999999999995,-0.6083592168674006,-0.6083592168674007,-0.6083592168674002,0.0931115189577178,-0.651817892709532,-0.7081123869933652,3.3306690738754696e-16
-3.3749999999999996,-0.6060196442808309,-0.6060196442808311,-0.6060196442808331,0.09405606249610715,-0.649873089088456,-0.706048208077671,2.220446049250313e-15
-3.3499999999999996,-0.6036563247244311,-0.603656324724431,-0.6036563247244293,0.09501128813562715,-0.6479075911780868,-0.703957395141617,1.7763568394002505e-15
-3.3249999999999997,-0.6012689902863165,-0.6012689902863169,-0.6012689902863164,0.09597726421963682,-0.645921089830705,-0.7018395178373977,1.1102230246251565e-16
-3.3,-0.5988573713770208,-0.5988573713770211,-0.5988573713770232,0.09695405658647632,-0.6439132703267791,-0.6996941392890389,2.4424906541753444e-15
-3.2749999999999995,-0.596421196794012,-0.5964211967940122,-0.5964211967940105,0.09794172841722987,-0.641883812270315,-0.6975208160656867,1.4432899320127035e-15
-3.2499999999999996,-0.5939601937900754,-0.5939601937900753,-0.5939601937900748,0.09894034007894065,-0.6398323894827963,-0.695319098159229,5.551115123125783e-16
-3.2249999999999996,-0.5914740881456709,-0.5914740881456709,-0.5914740881456726,0.09994994896325093,-0.6377586698957559,-0.6930885289672436,1.6653345369377348e-15
-3.1999999999999997,-0.5889626042453853,-0.5889626042453854,-0.5889626042453843,0.10097060932044466,-0.6356623154420182,-0.6908286452811186,9.992007221626409e-16
