case,method,kind,tau,lA,lC,phi,v,hp,hl,E,B,I_wrong
coupled_mixed,DOP853,full,2.075,0.15645547923070136,0.13914444038565205,0.14969672723503094,-0.01762648261976273,0.07451430882944693,0.06063514342938375,0.05852117307728655,0.04387890162510609,
coupled_mixed,DOP853,full,2.1,0.15831796400374087,0.140658948525979,0.14925174314530462,-0.017971747790327584,0.0744844244462303,0.06052570536204095,0.05832694341718539,0.04371575809382006,
coupled_mixed,DOP853,full,2.125,0.1601796980301882,0.14217073546603584,0.14879816472283264,-0.018314027690752514,0.07445424932546758,0.06041744477621146,0.05813389534331626,0.04355328653169683,
coupled_mixed,DOP853,full,2.15,0.16204067405855688,0.14367983044644564,0.14833606671447527,-0.01865331315420332,0.07442378483122991,0.06031034599674557,0.057942018327109907,0.043391484583644994,
coupled_mixed,DOP853,full,2.1750000000000003,0.16390088487205035,0.14518626231879736,0.14786552409314363,-0.0189895952633611,0.07439303237460423,0.060204393575708955,0.057751301921668934,0.04323034989632332,
coupled_mixed,DOP853,full,2.2,0.16576032328973514,0.14669005955129952,0.14738661205156792,-0.019322865349882385,0.07436199341350136,0.06009957229025943,0.057561735761142666,0.04306988011812145,
coupled_mixed,DOP853,full,2.225,0.16761898216770943,0.148191250234381,0.1468994059960793,-0.019653114993832054,0.07433066945244407,0.05999586714053237,0.05737330956010681,0.04291007289914214,
coupled_mixed,DOP853,full,2.25,0.1694768544002654,0.14968986208623927,0.14640398154040743,-0.019980336023089344,0.07429906204233608,0.0598932633475344,0.0571860131129481,0.042750925891185274,
coupled_mixed,DOP853,full,2.275,0.17133393292104504,0.15118592245833573,0.1459004144994932,-0.020304520512727527,0.07426717278021186,0.059791746351045186,0.056999836293253905,0.04259243674773338,
coupled_mixed,DOP853,full,2.3000000000000003,0.1731902107041893,0.15267945834083954,0.14538878088331922,-0.020625660784367717,0.07423500330896816,0.05969130180752699,0.05681476905320678,0.04243460312393895,
coupled_mixed,DOP853,full,2.325,0.17504568076547888,0.15417049636801905,0.1448691568907578,-0.020943749405507212,0.07420255531707713,0.05959191558804171,0.056630801422984156,0.04227742267661341,
coupled_mixed,DOP853,full,2.35,0.17690033616347467,0.15565906282357958,0.14434161890342423,-0.021258779188825502,0.07416983053828051,0.059493573776175805,0.05644792351016258,0.04212089306421696,
coupled_mixed,DOP853,full,2.375,0.17875417000064545,0.15714518364595048,0.14380624347955642,-0.02157074319146462,0.07413683075126723,0.05939626266597247,0.05626612549912734,0.041965011946850476,
coupled_mixed,DOP853,full,2.4000000000000004,0.18060717542448473,0.15862888443352174,0.14326310734791708,-0.02187963471428486,0.07410355777933396,0.059299968759870175,0.05608539765048704,0.041809776986249506,
coupled_mixed,DOP853,full,2.4250000000000003,0.18245934562862223,0.16011019044982785,0.14271228740170872,-0.022185447301098823,0.07407001349002852,0.05920467876664873,0.055905730300493214,0.04165518584577927,
coupled_mixed,DOP853,full,2.45,0.1843106738539255,0.16158912662868077,0.14215386069251057,-0.022488174737882574,0.07403619979477695,0.059110379599381896,0.05572711386046485,0.04150123619043152,
coupled_mixed,DOP853,full,2.475,0.18616115338959174,0.16306571757925178,0.14158790442423452,-0.022787811051964847,0.0740021186484945,0.05901705837339664,0.05554953881621806,0.041347925686822926,
coupled_mixed,DOP853,full,2.5,0.18801077757423035,0.1645399875911023,0.14101449594710133,-0.02308435051119487,0.07396777204918077,0.058924702404238825,0.0553729957275008,0.04119525200319497,
coupled_mixed,DOP853,full,2.5250000000000004,0.18985953979693512,0.16601196063916404,0.14043371275163738,-0.023377787623089317,0.0739331620374997,0.05883329920564527,0.05519747522743255,0.04104321280941551,
coupled_mixed,DOP853,full,2.5500000000000003,0.1917074334983456,0.16748166038866824,0.13984563246269344,-0.023668117133958756,0.07389829069634435,0.05874283648752211,0.05502296802194912,0.04089180577698185,
coupled_mixed,DOP853,full,2.575,0.1935544521716975,0.16894911020002498,0.13925033283348562,-0.023955334028014277,0.07386316015038731,0.0586533021539293,0.05484946488925248,0.04074102857902536,
coupled_mixed,DOP853,full,2.6,0.19540058936386123,0.1704143331336517,0.13864789173965977,-0.024239433526454565,0.07382777256561687,0.05856468430107118,0.05467695667926561,0.040590878890317754,
coupled_mixed,DOP853,full,2.625,0.19724583867636786,0.1718773519547519,0.13803838717338,-0.02452041108653411,0.07379213014885942,0.05847697121529306,0.054505434313092425,0.0404413543872789,
coupled_mixed,DOP853,full,2.6500000000000004,0.1990901937664227,0.17333818913804402,0.13742189723744197,-0.024798262400612864,0.07375623514728842,0.0583901513710836,0.05433488878248279,0.04029245274798626,
coupled_mixed,DOP853,full,2.6750000000000003,0.20093364834790836,0.17479686687243978,0.13679850013940592,-0.02507298339518863,0.07372008984791993,0.05830421342908317,0.054165311149302495,0.04014417165218559,
coupled_mixed,DOP853,full,2.7,0.2027761961923793,0.17625340706567272,0.13616827418574545,-0.025344570229912933,0.07368369657709455,0.05821914623409834,0.05399669254500817,0.03999650878130268,
coupled_mixed,DOP853,full,2.725,0.2046178311300331,0.17770783134887808,0.13553129777604167,-0.025613019296587956,0.07364705769994873,0.058134938813121574,0.05382902417012745,0.039849461818457686,
coupled_mixed,DOP853,full,2.75,0.2064585470506753,0.1791601610811227,0.13488764939718892,-0.025878327218148534,0.07361017561987286,0.05805158037335708,0.053662297293744006,0.03970302844848012,
coupled_mixed,DOP853,full,2.7750000000000004,0.20829833790466842,0.18061041735388575,0.1342374076176302,-0.026140490847628036,0.07357305277795798,0.05796906030025227,0.053496503252987604,0.03955720635792558,
coupled_mixed,DOP853,full,2.8000000000000003,0.2101371977038673,0.18205862099549006,0.13358065108161823,-0.026399507267108917,0.07353569165243107,0.057887368155534996,0.05333163345252912,0.03941199323509383,
coupled_mixed,DOP853,full,2.825,0.21197512052254053,0.18350479257548485,0.13291745850350195,-0.02665537378665849,0.07349809475807935,0.05780649367525642,0.05316767936408064,0.03926738677004824,
coupled_mixed,DOP853,full,2.85,0.2138121004982773,0.18494895240897938,0.13224790866203992,-0.026908087943250333,0.07346026464566385,0.05772642676783964,0.053004632525900416,0.03912338465463666,
coupled_mixed,DOP853,full,2.875,0.21564813183287973,0.1863911205609277,0.13157208039474058,-0.0271576474996718,0.07342220390132269,0.05764715751213407,0.05284248454230285,0.03897998458251363,
coupled_mixed,DOP853,full,2.9000000000000004,0.2174832087932396,0.18783131685036533,0.1308900525922304,-0.027404050443418152,0.07338391514596448,0.05756867615547544,0.0526812270831734,0.0388371842491639,
