time,interval,light_mass,heavy_mass,light_amplitude,heavy_amplitude,log_C,effective_mass,light_spectral_fraction,heavy_spectral_fraction
35.5,0.5,0.1,1.0,1e-12,1.0,-31.167795490158635,0.1095448220842129,0.9868614485252057,0.01313855147479482
35.75,0.5,0.1,1.0,1e-12,1.0,-31.195446205232944,0.10763828605483731,0.9894808070959936,0.010519192904007888
36.0,0.5,0.1,1.0,1e-12,1.0,-31.22256790120074,0.10610991622541208,0.9915824132308688,0.008417586769129678
36.25,0.5,0.1,1.0,1e-12,1.0,-31.249265348260362,0.10488566098524059,0.9932670012275651,0.006732998772435212
36.5,0.5,0.1,1.0,1e-12,1.0,-31.275622859313444,0.10390562248076991,0.994616287788895,0.005383712211103591
36.75,0.5,0.1,1.0,1e-12,1.0,-31.301708178752982,0.10312147771819666,0.9956963501812478,0.004303649818751199
37.0,0.5,0.1,1.0,1e-12,1.0,-31.32757567055383,0.10249432276896368,0.9965604833611994,0.003439516638800473
37.25,0.5,0.1,1.0,1e-12,1.0,-31.35326891761208,0.10199288864983386,0.9972515855092428,0.002748414490755772
37.5,0.5,0.1,1.0,1e-12,1.0,-31.378822831938315,0.1015920761118,0.9978041304664742,0.0021958695335275997
37.75,0.5,0.1,1.0,1e-12,1.0,-31.404265361937,0.10127175947568362,0.9982457864428205,0.0017542135571835878
38.0,0.5,0.1,1.0,1e-12,1.0,-31.429618869994215,0.10101581463184535,0.9985987367531203,0.0014012632468805473
38.25,0.5,0.1,1.0,1e-12,1.0,-31.45490124167484,0.10081133206162779,0.9988807525714549,0.0011192474285462689
38.5,0.5,0.1,1.0,1e-12,1.0,-31.480126777310137,0.10064798148144362,0.9991060611831751,0.0008939388168239105
38.75,0.5,0.1,1.0,1e-12,1.0,-31.505306907705652,0.10051750005403116,0.9992860467630896,0.0007139532369092941
39.0,0.5,0.1,1.0,1e-12,1.0,-31.530450768050855,0.10041328087068264,0.9994298147397424,0.0005701852602562605
39.25,0.5,0.1,1.0,1e-12,1.0,-31.555565657732668,0.10033004252732786,0.999544645509459,0.00045535449053954826
39.5,0.5,0.1,1.0,1e-12,1.0,-31.5806574084862,0.1002635641121909,0.9996363586911872,0.0003636413088142857
39.75,0.5,0.1,1.0,1e-12,1.0,-31.605730678996334,0.10021047284582901,0.9997096052405083,0.0002903947594917797
40.0,0.5,0.1,1.0,1e-12,1.0,-31.630789190542295,0.10016807403357479,0.999768101506361,0.00023189849363932722
40.25,0.5,0.1,1.0,1e-12,1.0,-31.655835915419246,0.100134214976758,0.9998148166392558,0.00018518336074447087
40.5,0.5,0.1,1.0,1e-12,1.0,-31.680873227559083,0.10010717611018881,0.9998521225654806,0.00014787743451940815
40.75,0.5,0.1,1.0,1e-12,1.0,-31.705903022907627,0.1000855839502456,0.9998819139517868,0.00011808604821482428
41.0,0.5,0.1,1.0,1e-12,1.0,-31.73092681561418,0.10006834150376119,0.9999057041317653,9.429586823597107e-05
41.25,0.5,0.1,1.0,1e-12,1.0,-31.75594581488275,0.10005457264815175,0.9999247017892556,7.529821074575876e-05
41.5,0.5,0.1,1.0,1e-12,1.0,-31.780960986366054,0.10004357768600133,0.9999398722452542,6.012775474435729e-05
41.75,0.5,0.1,1.0,1e-12,1.0,-31.805973101206824,0.10003479783423687,0.9999519864309644,4.801356903417558e-05
42.0,0.5,0.1,1.0,1e-12,1.0,-31.83098277520906,0.10002778685512193,0.9999616600155078,3.8339984493613815e-05
42.25,0.5,0.1,1.0,1e-12,1.0,-31.855990500123944,0.10002218839483105,0.9999693846640546,3.061533594508456e-05
